Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,JAVASCRIPT,TYPESCRIPT,REACT,VUE,ANGULAR,HTML_CSS,WEBPACK,NODEJS
Системный аналитик,https://hh.ru/vacancy/119037457,СК Сбербанк страхование жизни,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (FEMA & Trade Finance),https://hh.ru/vacancy/118524095,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Интернет-маркетолог,https://hh.ru/vacancy/118571424,Медбэнк,от 150000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (Transactions),https://hh.ru/vacancy/118545405,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
"Веб-программист Fullstack (Nuxt3, Vue3, Node.Js, NestJs, TypeScript, PostgreSQL)",https://hh.ru/vacancy/118652989,Плейспартс,не указана,Нет опыта,Да,1,0,0,0,0,1,1,0,1,0,0,0,1
Разработчик Flutter (Middle),https://hh.ru/vacancy/116495338,Tennisi,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик ДТРРБ,https://hh.ru/vacancy/117625503,Т1,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
".NET Developer, Payments",https://hh.ru/vacancy/118499643,Aviasales.ru,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (Розничный клиент),https://hh.ru/vacancy/117087840,Т1,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по поддержке и развитию ПО,https://hh.ru/vacancy/119123264,РЕАЛИСТ БАНК,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Программист 1С,https://hh.ru/vacancy/118438924,Фонд содействия кредитованию малого бизнеса Москвы,от 200000 RUR,Более 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-эксперт (фронт- решения для Банков),https://hh.ru/vacancy/118505723,Динамика,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (Middle+),https://hh.ru/vacancy/118238133,Т1,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик СОФР (система операций на финансовом рынке),https://hh.ru/vacancy/118293145,РСХБ-Интех,до 225000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист отдела поддержки фронт-офисных информационных систем,https://hh.ru/vacancy/119037859,Группа страховых компаний Югория,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам (Аккаунт-Менеджер),https://hh.ru/vacancy/117208294,iSpring,до 150000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик Node.js,https://hh.ru/vacancy/118592093,Житняков Денис,до 270000 RUR,Более 6 лет,Да,0,0,0,0,0,1,1,1,0,0,0,0,1
"Системный аналитик (middle+, senior)",https://hh.ru/vacancy/118567150,WMT,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
