Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
ML Data Scientist (Senior),https://hh.ru/vacancy/119225700,"РУСАЛ, Центр подбора персонала",не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Python-разработчик (MLOps),https://hh.ru/vacancy/118907832,RUTUBE,не указана,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
Computer Vision Engineer,https://hh.ru/vacancy/118980310,WILDBERRIES,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Менеджер продукта/ Аналитик продукта/ Руководитель направления (внедрение ИИ),https://hh.ru/vacancy/118206451,КонсультантПлюс,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Data Scientist / ML Engineer,https://hh.ru/vacancy/119447859,ИЦ АЙ-ТЕКО,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Middle Data Scientist (кредитно-платежные продукты),https://hh.ru/vacancy/119303534,МегаФон,не указана,От 1 года до 3 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
ML-разработчик в службу ML Финтеха,https://hh.ru/vacancy/118702797,Яндекс,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Бизнес-аналитик / SME по прогнозированию и ML,https://hh.ru/vacancy/119507791,Эдвансд,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLМ Developer,https://hh.ru/vacancy/119286407,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
Архитектор решений / Ведущий инженер систем управления производством,https://hh.ru/vacancy/119589815,Инфосистемы Джет,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ML разработчик (Computer vision),https://hh.ru/vacancy/117271292,Транснефть-Технологии,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
Deep Learning engineer,https://hh.ru/vacancy/119280093,Эвокарго,не указана,От 3 до 6 лет,Да,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Solution Architect/ MLOps Engineer,https://hh.ru/vacancy/119300640,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Data Scientist (Гео и Графы),https://hh.ru/vacancy/119232367,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0
Аналитик-разработчик в команду безопасности Нейро,https://hh.ru/vacancy/118905833,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ML-разработчик,https://hh.ru/vacancy/119218636,getmatch,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Senior ML-engineer,https://hh.ru/vacancy/116105316,Альфа-Банк,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий разработчик 1С (машинное обучение),https://hh.ru/vacancy/118303254,1С,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик алгоритмов ценообразования в Маркет C++,https://hh.ru/vacancy/116696351,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
MLOps-инженер,https://hh.ru/vacancy/118894335,RDP.RU,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"ML-разработчик (LLM, middle)",https://hh.ru/vacancy/119349241,SL Soft,не указана,От 1 года до 3 лет,Да,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
ML Solution Architect,https://hh.ru/vacancy/118123099,Группа компаний Астра,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Руководитель ML направления (ML Lead),https://hh.ru/vacancy/119389685,"РОСТ, Группа компаний",не указана,От 3 до 6 лет,Да,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
ML Team Lead (Ассистент Салют),https://hh.ru/vacancy/119831035,СБЕР,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Machine Learning Engineer (RecSys),https://hh.ru/vacancy/119359952,Звук,не указана,От 1 года до 3 лет,Да,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
Middle MLops specialist,https://hh.ru/vacancy/114972373,Электронная торговая площадка Газпромбанка,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
